Updated,Title,Content
2020/05/25 12:36 (GMT+2),"Lifelog 2020-05-25; Work in progress everywhere (English%20section%208f6665fa0621410daa32502748e3cc5d/Weekly%20updates%20d4cb77d7f9fe4796b38cf84ac9efb178/Lifelog%202020-05-25;%20Work%20in%20progress%20everywhere%204fdf12290419448d8db8e821c59a3d9e.html) ","Info about tinySelf, objWiki progress, my life and what I managed to do."
2020/06/09 0:00 (GMT+2),"Unicode font subset (English%20section%208f6665fa0621410daa32502748e3cc5d/About%20this%20blog%20a521597472dc4ca9941bf3de7c5fa03d/Unicode%20font%20subset%208259ea564af14bcc86ad1d7e8725afe8.html) ",How to use unicode font subset in your CSS.
2020/06/09 0:24 (GMT+2),"The Most Personal Device experiment (English%20section%208f6665fa0621410daa32502748e3cc5d/Improvements%2081c2554bd4004493b59e8982ac8939c6/The%20Most%20Personal%20Device%20experiment%2049bcfd6b0102421d9cd0dd67d2035874.html) ","I have this idea of a ""Most Personal Device"", which is this little computer you always have with you, never leave it out of your sight, and use it as an authenticator and recovery seed for everything else."
2020/06/09 0:27 (GMT+2),"Pebble smartwatches (English%20section%208f6665fa0621410daa32502748e3cc5d/Improvements%2081c2554bd4004493b59e8982ac8939c6/The%20Most%20Personal%20Device%20experiment%2049bcfd6b0102421d9cd0dd67d2035874/Pebble%20smartwatches%205772ac924c8e46d892f903560e58d37a.html) ","I've bought Pebble time steel smartwatches with the idea, that I'll try to program them. This didn't go well for several reasons."
2020/06/12 2:24 (GMT+2),"Trying Ansible alternatives in python (English%20section%208f6665fa0621410daa32502748e3cc5d/Explorations%204bfadaaa4fba4ef28a2ebd3ecd4038bb/Trying%20Ansible%20alternatives%20in%20python%20f1af76cfdb804f7588f2b6afeff1bf2a.html) ","My VPS will soon expire, so I've decided to try to automate its deployment. After spending evening by studying Ansible alternatives, I've decided to use pyinfra, and I am quite happy with it."
2020/06/12 14:44 (GMT+2),"What do I mean by node? (English%20section%208f6665fa0621410daa32502748e3cc5d/About%20this%20blog%20a521597472dc4ca9941bf3de7c5fa03d/What%20do%20I%20mean%20by%20node%2053245868661e4e168892c41eceb7f4a8.html) ",I often talk about the 'nodes' in the blog. What do I mean by that?
2020/06/14 19:47 (GMT+2),"My Greenspun's counter (English%20section%208f6665fa0621410daa32502748e3cc5d/Programming%20782f0b85dfd14027a6561954bf7bd674/My%20Greenspun's%20counter%20e1faf8e3558e413eb23c6971ae823b48.html) ","Every time I find Greenspun's tenth rule in the wild, I add a link to the project and update a counter. This node is not a comprehensive database, just a personal notes."
2020/06/15 1:31 (GMT+2),"Lifelog 2020-06-15; Todo in motion (English%20section%208f6665fa0621410daa32502748e3cc5d/Weekly%20updates%20d4cb77d7f9fe4796b38cf84ac9efb178/Lifelog%202020-06-15;%20Todo%20in%20motion%203afc5e7e07f64405a062ea2d1c2de5ca.html) ","Opensource contributions, book report, improvements, stuff that I wrote and generally progress in my life."
2020/07/28 18:20 (GMT+2),https://blog.rfox.eu/atom_cz.xml,Pleas update your readers if you wish to receive updates with Czech blogposts: https://blog.rfox.eu/atom_cz.xml
2020/07/28 19:05 (GMT+2),"Newsletter 2020-07-28; Whee, I can make 3D lowpoly models (English%20section%208f6665fa0621410daa32502748e3cc5d/Weekly%20updates%20d4cb77d7f9fe4796b38cf84ac9efb178/Newsletter%202020-07-28;%20Whee,%20I%20can%20make%203D%20lowpoly%20842c844c698546be8f2d977d3f712832.html) ","Opensource contributions, book report, improvements, published blogposts and generally progress in my life and work."
