Content,Title,Updated
V rámci rozdělování anglického a českého obsahu na mém blogu budou nadále novinky z české sekce mého blogu publikovány na adrese https://blog.rfox.eu/atom_cz.xml,https://blog.rfox.eu/atom_cz.xml,2020/07/22 1:00 (GMT+2)
"Posledních několik týdnů rozechvívá vlny mých sociálních sítí fenomén GPT-3. Jedná se o nedávno představený druh strojového učení, vytrénovaný společností OpenAI na rekordním množství dat. A zatímco se jedná jen o jazykový model, který má za úkol predikovat další token ve větě, výsledky a možnosti využití jsou místy dech-beroucí.","GPT-3 (Czech%20section/P%C5%99edstaven%C3%AD/GPT-3%201c47af32697d4567b18ca95f430c3386.html) ",2020/08/19 1:48 (GMT+2)
"Vrch Vítkov v centru Prahy pod sebou ukrývá kromě několika starých tunelů pro vlaky také tunel pro pěší. Málokdo však ví, co se skrývá za zcela nenápadnými kovovými dveřmi, posprejovanými klikyháky sprejerů.","Mikrotron pod Vítkovem (Czech%20section/P%C5%99edstaven%C3%AD/Mikrotron%20pod%20V%C3%ADtkovem%20a665f10c50fe413fb414dea8f15c53ca.html) ",2020/12/06 20:53 (GMT+1)
Sestavení tiskárny a první dojmy.,"3D tiskárna Průša MK3S+; sestavení a první tisk (Czech%20section/3D%20tisk/3D%20tisk%C3%A1rna%20Pr%C5%AF%C5%A1a%20MK3S+;%20sestaven%C3%AD%20a%20prvn%C3%AD%20tisk%2009e1ea9618484dd58354f3fd6df4632c.html) ",2021/01/15 23:36 (GMT+1)
Zkušenosti s podvodníky a policií ČR.,"Dva podvodníci (Czech%20section/Ostatn%C3%AD/Dva%20podvodn%C3%ADci%203c9678a9c920490e90d6c8b03854d35d.html) ",2021/01/23 12:04 (GMT+1)
,"3D TODO list 1; Držák na sluchátka (Czech%20section/3D%20tisk/3D%20TODO%20list%201;%20Dr%C5%BE%C3%A1k%20na%20sluch%C3%A1tka%20149c1fe7f17d496bb106101d1f278712.html) ",2021/01/23 12:39 (GMT+1)
Špetka zklamání a rozčilování se nad různými úřady a jejich uživatelským rozhraním.,"Státní zklamání (Czech%20section/Ostatn%C3%AD/St%C3%A1tn%C3%AD%20zklam%C3%A1n%C3%AD%205c978f9cbbf9402da01749855a0fa5fd.html) ",2021/04/10 14:25 (GMT+2)
Fekální poezie složená při čekání ve frontě na poště.,"Pošta (poezie) (%C3%9Atr%C5%BEky/Po%C5%A1ta%20(poezie)%2014aba1df90234552911c2929698751f9.html) ",2021/06/18 12:02 (GMT+2)
Jak v Blenderu najít geometrický střed Prahy.,"Geometrický střed Prahy (Czech%20section/3D%20modelov%C3%A1n%C3%AD/Geometrick%C3%BD%20st%C5%99ed%20Prahy%20569c226ebffc46afafb625527c5e4d1d.html) ",2021/06/22 17:12 (GMT+2)
,"Nastavení Blenderu pro 3D tisk (Czech%20section/3D%20tisk/Nastaven%C3%AD%20Blenderu%20pro%203D%20tisk%20d99e4637206b43639f44d28bd1299ddb.html) ",2021/06/24 13:47 (GMT+2)
"Můj osobní algoritmus hledání programátorské práce, plus různé rady kolem. Sepsáno na žádost několika bývalých kolegů, které to zajímalo.","Algoritmus hledání programátorské práce 2021/4 (Czech%20section/Ostatn%C3%AD/Algoritmus%20hled%C3%A1n%C3%AD%20program%C3%A1torsk%C3%A9%20pr%C3%A1ce%202021%204%20f5a63e30e4014b3499e4bee3530a8993.html) ",2021/07/05 15:50 (GMT+2)
Zamyšlení nad problémy elektromobility formou imaginárního rozhovoru.,"Paromobilita je budoucnost (Czech%20section/Ostatn%C3%AD/Paromobilita%20je%20budoucnost%20e0d130ffc0e3434aae1e6621f7474f54.html) ",2021/07/06 22:56 (GMT+2)
"Další pokus o sci-fi povídku, který se mi už několik let válí ve wiki. Varování; obsahuje scény násilí, sprostá slova a celkově možná trochu šokující koncepty. ","Software (Czech%20section/Pov%C3%ADdky/Software%2044b337bdf4d443aa88151de9c7c9ddcb.html) ",2021/11/20 15:30 (GMT+1)
"Povídání o GPT a LLM (Large Language Models), návod jak si rozjet menší modely doma a pár ukázek jak používám GPT4.","Jak na vlastní LLM (GPT) (Czech%20section/Programov%C3%A1n%C3%AD/Jak%20na%20vlastn%C3%AD%20LLM%20(GPT)%20f573db6f77214fb198b2a27736780416.html) ",2023/04/13 19:52 (GMT+2)
"Starý koncept na téma multiplexování konkrétních statků v čase v podobě nějaké ""kryptoměny"". Backportováno z hlubin mé osobní wiki.","CaptchaCoin (Czech%20section/Koncepty/CaptchaCoin%206e779a90651d4286821061b1cf365fdd.html) ",2024/08/17 2:09 (GMT+2)
"Nápad na startup; elektronické komponenty přátelské k 3D tisku, které může 3D tiskárna sama nabírat a umisťovat. Něco jako Lego, ale pro elektroniku. Backportováno z hlubin mé osobní wiki.","HobbyCell (Czech%20section/Koncepty/HobbyCell%206d2bbc6e0ff641dca206dc21bf5ce434.html) ",2024/08/17 2:10 (GMT+2)
Upgradoval jsem 3D tiskárnu Pruša MK3S+ na MK4. V textu se dozvíte jak to šlo a pár pozorování nové verze.,"Upgrade na MK4 (Czech%20section/3D%20tisk/Upgrade%20na%20MK4%20cd90b74752904130b0432c1fb17a54ee.html) ",2024/08/17 2:31 (GMT+2)
